Generic name	Class	Dose category
Abacavir	Moderate	High
Acetaminophen	Moderate	High
Aciclovir	Without	High
Adefovir Dipivoxil	Without	Low
Alfuzosin	Moderate	Low
Allopurinol	Severy	High
Almotriptan	Without	Low
Aminosalicylic Acid	Moderate	High
Amodiaquine	Severy	High
Amoxapine	Moderate	High
Axitinib	Moderate	Medium
Azathioprine	Severy	High
Bedaquiline	Moderate	High
Bosentan	Severy	High
Bosutinib	Moderate	High
Bromazepam	Without	Low
Chloroquine	Moderate	High
Chlorpromazine	Moderate	Medium
Cinchophen	Severy	High
Ciprofloxacin	Severy	High
Clofazimine	Moderate	High
Clomipramine	Severy	Medium
Clorazepate	Without	Medium
Clozapine	Severy	High
Crizotinib	Severy	High
Cyclofenil	Severy	High
Cyproheptadine	Moderate	Medium
Dalfampridine	Without	Medium
Dapsone	Severy	Medium
Dasatinib	Moderate	High
Deferasirox	Severy	High
Delavirdine	Moderate	High
Desipramine	Moderate	High
Desloratadine	Moderate	Low
Didanosine	Severy	High
Diflunisal	Moderate	High
Entacapone	Moderate	High
Ergonovine	Without	Low
Erlotinib	Severy	High
Estazolam	Without	Low
Ethionamide	Moderate	High
Etoricoxib	Moderate	Medium
Etravirine	Moderate	High
Exifone	Severy	High
Ezogabine	Without	High
Flibanserin	Without	Medium
Flucytosine	Moderate	High
Fluphenazine	Moderate	Low
Folic Acid	Without	Low
Frovatriptan	Without	Low
Ganciclovir	Without	High
Gefitinib	Moderate	High
Glafenine	Severy	High
Hydralazine	Severy	High
Hydroxychloroquine	Severy	High
Imatinib	Severy	High
Imipramine	Severy	High
Iproniazid	Severy	Low
Isaxonine	Severy	High
Isoniazid	Severy	High
Ivabradine	Without	Low
Lamotrigine	Moderate	High
Lansoprazole	Moderate	Medium
Lapatinib	Severy	High
Lenalidomide	Moderate	Medium
Lisuride	Without	Low
Lorazepam	Without	Low
Loxapine	Moderate	Medium
Macitentan	Moderate	Low
Mebendazole	Moderate	High
Mefenamic Acid	Moderate	High
Melatonin	Without	Low
Mercaptopurine	Severy	High
Mesalazine	Moderate	High
Methimazole	Severy	Low
Methotrexate	Moderate	Low
Methylergometrine	Without	Low
Methysergide	Without	Low
Metoclopramide	Moderate	Medium
Minoxidil	Without	Medium
Mirtazapine	Moderate	Medium
Nalidixic Acid	Moderate	High
Naratriptan	Without	Low
Nevirapine	Severy	High
Niacin	Severy	High
Nilotinib	Moderate	High
Nitazoxanide	Without	High
Norfloxacin	Severy	High
Ofloxacin	Severy	High
Olanzapine	Moderate	Low
Omeprazole	Moderate	Medium
Oxaprozin	Moderate	High
Oxazepam	Without	Medium
Oxyphenisatine	Severy	Low
Pantoprazole	Moderate	Medium
Paroxetine	Severy	Medium
Pazopanib	Severy	High
Perphenazine	Moderate	Medium
Phenazopyridine	Moderate	High
Phenoxybenzamine	Without	Medium
Pimozide	Without	Low
Pindolol	Without	Medium
Pioglitazone	Moderate	Medium
Piroxicam	Severy	Medium
Ponatinib	Severy	Medium
Prazosin	Without	Low
Prochlorperazine	Moderate	Medium
Pyrazinamide	Moderate	High
Pyrimethamine	Moderate	Medium
Quetiapine	Severy	High
Rabeprazole	Moderate	Medium
Raloxifene	Without	Medium
Regorafenib	Severy	High
Reserpine	Without	Low
Ribavirin	Without	High
Rifabutin	Moderate	High
Rilpivirine	Moderate	Medium
Riluzole	Moderate	Medium
Rosiglitazone	Moderate	Low
Silodosin	Moderate	Low
Sirolimus	Moderate	Low
Sorafenib	Moderate	High
Stavudine	Severy	Medium
Sulfadiazine	Severy	High
Sulfamethoxazole	Moderate	High
Sulfathiazole	Severy	Low
Sulindac	Severy	High
Sumatriptan	Without	Medium
Sunitinib	Severy	Medium
Tacrolimus	Moderate	Medium
Tadalafil	Without	Low
Telbivudine	Without	High
Temozolomide	Severy	High
Tenofovir	Without	High
Tenoxicam	Moderate	Medium
Terazosin	Without	Low
Thalidomide	Moderate	High
Theophylline	Without	High
Thiabendazole	Moderate	High
Tilbroquinol	Severy	High
Tioguanine	Moderate	High
Tolcapone	Severy	High
Trifluoperazine	Moderate	Medium
Trimethobenzamide	Moderate	High
Trimethoprim	Moderate	High
Vemurafenib	Moderate	High
Vilazodone	Without	Medium
Zaleplon	Without	Medium
Zidovudine	Severy	High
Zimeldine	Severy	High
Ziprasidone	Moderate	Medium
