Any Treatment Emergent AE	TIVORBEX 40 mg three times daily	TIVORBEX 40 mg twice daily	TIVORBEX 20 mg three times daily	Placebo
Nausea	33	33	34	36
Post procedural edema	24	22	26	32
Headache	16	14	11	11
Dizziness	15	14	10	17
Vomiting	8	10	12	11
Post procedural hemorrhage	5	11	5	6
Constipation	4	5	6	5
Pruritus	2	3	4	0
Diarrhea	2	3	2	1
Dyspepsia	3	2	1	1
Post procedural swelling	1	3	1	1
Presyncope	2	3	1	2
Rash	2	1	2	0
Abdominal pain, upper	2	1	2	1
Somnolence	2	2	1	1
Pruritus generalized	1	2	1	0
Hyperhidrosis	0	2	1	1
Decreased appetite	0	2	1	1
Hot flush	0	1	2	1
Syncope	0	2	1	1
