Protein Names	Gene Names	mRNA copy number experiment [molecules/cell]	Protein copy number experiment [molecules/cell]
[Protein ADP-ribosylarginine] hydrolase	Adprh	15.44	66478.47
[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 3, mitochondrial	Pdk3	16.4	97975.65
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	Adi1	53.07	332574.35
1,4-alpha-glucan-branching enzyme	Gbe1	5.42	5675.85
1,5-anhydro-D-fructose reductase	Akr1e1	4.82	41599.35
10 kDa heat shock protein, mitochondrial	Hspe1	91.58	4131046.28
1110037F02Rik protein	1110037F02Rik	8.03	9605.91
14-3-3 protein beta/alpha	Ywhab	65.94	1303077.34
14-3-3 protein epsilon	Ywhae	282.45	13363225.55
14-3-3 protein eta	Ywhah	68.61	1577165.49
14-3-3 protein gamma	Ywhag	101.74	6618561.5
14-3-3 protein theta	Ywhaq	30.12	3562634.49
14-3-3 protein zeta/delta	Ywhaz	75.92	14209569.3
15 kDa selenoprotein	Sep15	106.67	154984.99
17beta-hydroxysteroid dehydrogenase type 10/short chain L-3-hydroxyacyl-CoA dehydrogenase	Hsd17b10	51.99	2047609.88
182 kDa tankyrase-1-binding protein	Tnks1bp1	26.42	37853.28
1-acylglycerol-3-phosphate O-acyltransferase ABHD5	Abhd5		25748.3
1-acyl-sn-glycerol-3-phosphate acyltransferase alpha	Agpat1	22.31	12725.62
1-acyl-sn-glycerol-3-phosphate acyltransferase delta	Agpat4	11.65	5205.6
1-O-acylceramide synthase	Lypla3	6.77	5884.8
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta-3	Plcd3	9.36	21129.72
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase eta-1	Plch1		2776.52
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma-1	Plcg1	13.5	7895.91
2',5'-phosphodiesterase 12	Pde12	4.57	27257.39
24-dehydrocholesterol reductase	Dhcr24	22.49	4776.38
26S protease regulatory subunit 4	Psmc1	64.69	812795.52
26S protease regulatory subunit 7	Psmc2	95.01	830471.38
26S protease regulatory subunit 8	Psmc5	134.34	1066752.14
26S protease regulatory subunit S10B	Psmc6	55	1070760.14
26S proteasome non-ATPase regulatory subunit 1	Psmd1	73.76	236577.37
26S proteasome non-ATPase regulatory subunit 11	Psmd11	54.33	1797398.43
26S proteasome non-ATPase regulatory subunit 13	Psmd13		1488258.92
